record_id,term_en,term_de,term_norm_en,term_norm_de,mention_count
CARDIO_000085,Paroxysmal AF,Paroxysmales Vorhofflimmern,paroxysmal af,paroxysmales vorhofflimmern,1
CARDIO_000086,Pacemaker,Herzschrittmacher,pacemaker,herzschrittmacher,1
CARDIO_000087,unipolar configuration,unipolare Konfiguration,unipolar configuration,unipolare konfiguration,1
CARDIO_000088,under - sensing,„under – Sensing“,under - sensing,„under – sensing“,1
CARDIO_000089,AAI,AAI,aai,aai,1
CARDIO_000090,CAD,CAD,cad,cad,53
CARDIO_000091,htn,htn,htn,htn,4
CARDIO_000092,event monitor,Ereignismonitor,event monitor,ereignismonitor,2
CARDIO_000093,ANKRD1 gene,ANKRD1-Gen,ankrd1 gene,ankrd1-gen,1
CARDIO_000094,propranolol,Propranolol,propranolol,propranolol,7
CARDIO_000095,Holter monitor,Holter-Monitor,holter monitor,holter-monitor,9
CARDIO_000096,supraventricular,supraventrikulär,supraventricular,supraventrikulär,8
CARDIO_000097,ventricular ectopy,ventrikuläre Ektopie,ventricular ectopy,ventrikuläre ektopie,1
CARDIO_000098,trimethaphan sulfamethoxazole,Trimethaphan-Sulfamethoxazol,trimethaphan sulfamethoxazole,trimethaphan-sulfamethoxazol,1
CARDIO_000099,antihypertensive agent,Blutdrucksenkendes Mittel,antihypertensive agent,blutdrucksenkendes mittel,2
CARDIO_000100,HCTZ,HCTZ,hctz,hctz,3
CARDIO_000101,Toprol,Toprol,toprol,toprol,18
CARDIO_000102,bradycardia,Bradykardie,bradycardia,bradykardie,55
CARDIO_000103,Hyperthyroidism,Hyperthyreose,hyperthyroidism,hyperthyreose,2
CARDIO_000104,ApoA-1,ApoA-1,apoa-1,apoa-1,1
CARDIO_000105,Aspirin,Aspirin,aspirin,aspirin,35
CARDIO_000106,atenolol,Atenolol,atenolol,atenolol,50
CARDIO_000107,ascending aorta,aufsteigende Aorta,ascending aorta,aufsteigende aorta,17
CARDIO_000108,stenting,Stentimplantation,stenting,stentimplantation,30
CARDIO_000109,carotid,Halsschlagader,carotid,halsschlagader,110
CARDIO_000110,vt,vt,vt,vt,2
CARDIO_000111,tachycardia,Tachykardie,tachycardia,tachykardie,83
CARDIO_000112,beta-blockade,Beta-Blockade,beta-blockade,beta-blockade,2
CARDIO_000113,hypotension,Hypotonie,hypotension,hypotonie,86
CARDIO_000114,mitral regurgitation,Mitralklappeninsuffizienz,mitral regurgitation,mitralklappeninsuffizienz,47
CARDIO_000115,regurgitant fraction,Regurgitationsfraktion,regurgitant fraction,regurgitationsfraktion,1
CARDIO_000116,hypertension,Hypertonie,hypertension,hypertonie,394
CARDIO_000117,captopril,Captopril,captopril,captopril,9
CARDIO_000118,VASOVAGAL,VASOVAGAL,vasovagal,vasovagal,1
CARDIO_000119,asa,asa,asa,asa,6
CARDIO_000120,TROPONIN,TROPONIN,troponin,troponin,1
CARDIO_000121,Enfamil AR,Enfamil AR,enfamil ar,enfamil ar,2
CARDIO_000122,Leriche syndrome,Leriche-Syndrom,leriche syndrome,leriche-syndrom,1
CARDIO_000123,guiding catheter,Führungskatheter,guiding catheter,führungskatheter,2
CARDIO_000124,cardiac,kardial,cardiac,kardial,280
CARDIO_000125,celiac,Truncus coeliacus,celiac,truncus coeliacus,3
CARDIO_000126,septum,Septum,septum,septum,46
CARDIO_000127,aneurysm,Aneurysma,aneurysm,aneurysma,47
CARDIO_000128,abdominal aorta,Bauchaorta,abdominal aorta,bauchaorta,20
CARDIO_000129,CABG,CABG,cabg,cabg,41
CARDIO_000130,ventricular,ventrikulär,ventricular,ventrikulär,139
CARDIO_000131,diastolic,diastolisch,diastolic,diastolisch,25
CARDIO_000132,Bernheim effect,Bernheim-Effekt,bernheim effect,bernheim-effekt,1
CARDIO_000133,pulmonary vein,Lungenvene,pulmonary vein,lungenvene,12
CARDIO_000134,axial,axial,axial,axial,13
CARDIO_000135,aneurysms,Aneurysmen,aneurysms,aneurysmen,5
CARDIO_000136,murmur,Herzgeräusch,murmur,herzgeräusch,99
CARDIO_000137,mitral valve replacement,Mitralklappenersatz,mitral valve replacement,mitralklappenersatz,15
CARDIO_000138,NG,NG,ng,ng,2
CARDIO_000139,thoracic outlet,Thoracic-Outlet-Syndrom,thoracic outlet,thoracic-outlet-syndrom,2
CARDIO_000140,wedge,Keil,wedge,keil,13
CARDIO_000141,CO,CO,co,co,8
CARDIO_000142,renal artery,Nierenarterie,renal artery,nierenarterie,40
CARDIO_000143,PTCA,PTCA,ptca,ptca,10
CARDIO_000144,OM2,OM2,om2,om2,1
CARDIO_000145,LAD,LAD,lad,lad,46
CARDIO_000146,D1,D1,d1,d1,1
CARDIO_000147,Culotte,Culotte,culotte,culotte,1
CARDIO_000148,DES,DES,des,des,1
CARDIO_000149,St depressin,ST-Senkung,st depressin,st-senkung,1
CARDIO_000150,lopressor,Lopressor,lopressor,lopressor,23
CARDIO_000151,echocardiogram,Echokardiogramm,echocardiogram,echokardiogramm,80
CARDIO_000152,monitoring,Überwachung,monitoring,überwachung,71
CARDIO_000153,lasix,Lasix,lasix,lasix,65
CARDIO_000154,SVGs,SVGs,svgs,svgs,1
CARDIO_000155,OM,OM,om,om,4
CARDIO_000156,oligohydramnios,Oligohydramnion,oligohydramnios,oligohydramnion,2
CARDIO_000157,diltiazem,Diltiazem,diltiazem,diltiazem,39
CARDIO_000158,monitor,überwachen,monitor,überwachen,135
CARDIO_000159,NIBP,NIBP,nibp,nibp,1
CARDIO_000160,bradya,Bradykardie,bradya,bradykardie,1
CARDIO_000161,percutaneous transluminal coronary angioplasty,perkutane transluminale Koronarangioplastie,percutaneous transluminal coronary angioplasty,perkutane transluminale koronarangioplastie,7
CARDIO_000162,hemodynamics,Hämodynamik,hemodynamics,hämodynamik,8
CARDIO_000163,MAP,MAP,map,map,4
CARDIO_000164,prop,prop,prop,prop,2
CARDIO_000165,RHC,RHC,rhc,rhc,2
CARDIO_000166,Cards,Karten,cards,karten,7
CARDIO_000167,troponin,Troponin,troponin,troponin,71
CARDIO_000168,ETT,ETT,ett,ett,10
CARDIO_000169,echo,Echokardiographie,echo,echokardiographie,27
CARDIO_000170,double inlet single left ventricle,"Doppelte Einlassöffnung, einzelner linker Ventrikel",double inlet single left ventricle,"doppelte einlassöffnung, einzelner linker ventrikel",1
CARDIO_000171,aortic arch,Aortenbogen,aortic arch,aortenbogen,33
CARDIO_000172,AV,AV,av,av,1
CARDIO_000173,restenosis,Restenose,restenosis,restenose,5
CARDIO_000174,qtc,qtc,qtc,qtc,1
CARDIO_000175,central line,Zentralvenenkatheter,central line,zentralvenenkatheter,28
CARDIO_000176,AVR,AVR,avr,avr,8
CARDIO_000177,IABP,IABP,iabp,iabp,8
CARDIO_000178,chf,chf,chf,chf,2
CARDIO_000179,PULSES,PULSE,pulses,pulse,2
CARDIO_000180,NQMI,NQMI,nqmi,nqmi,1
CARDIO_000181,EF,EF,ef,ef,30
CARDIO_000182,av paced,AV-gesteuert,av paced,av-gesteuert,1
CARDIO_000183,TNL,TNL,tnl,tnl,1
CARDIO_000184,carotid sinus,Karotissinus,carotid sinus,karotissinus,2
CARDIO_000185,vasovagal,vasovagal,vasovagal,vasovagal,10
CARDIO_000186,cad,cad,cad,cad,3
CARDIO_000187,carbomedica,Carbomedica,carbomedica,carbomedica,1
CARDIO_000188,PGJ,PGJ,pgj,pgj,1
CARDIO_000189,OSA,OSA,osa,osa,16
CARDIO_000190,Pseudoaneurysm,Pseudoaneurysma,pseudoaneurysm,pseudoaneurysma,2
CARDIO_000191,aortic root,Aortenwurzel,aortic root,aortenwurzel,13
CARDIO_000192,digoxin,Digoxin,digoxin,digoxin,50
CARDIO_000193,pressors,Blutdrucksteigerer,pressors,blutdrucksteigerer,3
CARDIO_000194,HYPERTENSION,HYPERTENSION,hypertension,hypertension,13
CARDIO_000195,PACED,PACED,paced,paced,1
CARDIO_000196,PVC,PVC,pvc,pvc,7
CARDIO_000197,anteroseptal,anteroseptal,anteroseptal,anteroseptal,10
CARDIO_000198,myocardial infarction,Herzinfarkt,myocardial infarction,herzinfarkt,50
CARDIO_000199,TTE,TTE,tte,tte,15
CARDIO_000200,aortic vegetations,Aortenvegetationen,aortic vegetations,aortenvegetationen,1
CARDIO_000201,aortic,aortisch,aortic,aortisch,108
CARDIO_000202,cordis,cordis,cordis,cordis,3
CARDIO_000203,biventricular,biventrikulär,biventricular,biventrikulär,4
CARDIO_000204,systolic,systolisch,systolic,systolisch,5
CARDIO_000205,milranone,Milranon,milranone,milranon,1
CARDIO_000206,PXE,PXE,pxe,pxe,1
CARDIO_000207,pseudoxanthoma elasticum,Pseudoxanthoma elasticum,pseudoxanthoma elasticum,pseudoxanthoma elasticum,1
CARDIO_000208,cholesterol,Cholesterin,cholesterol,cholesterin,42
CARDIO_000209,MONITOR,MONITOR,monitor,monitor,8
CARDIO_000210,Hypotension,Hypotonie,hypotension,hypotonie,6
CARDIO_000211,QCT interval,QCT-Intervall,qct interval,qct-intervall,1
CARDIO_000212,ectopy,Ektopie,ectopy,ektopie,11
CARDIO_000213,propac,Propac,propac,propac,1
CARDIO_000214,right atrium,Rechter Vorhof,right atrium,rechter vorhof,14
CARDIO_000215,midazolam,Midazolam,midazolam,midazolam,4
CARDIO_000216,DVI,DVI,dvi,dvi,1
CARDIO_000217,Heart block,Herzblock,heart block,herzblock,1
CARDIO_000218,CHB,CHB,chb,chb,2
CARDIO_000219,cath lab,Katheterlabor,cath lab,katheterlabor,1
CARDIO_000220,PEA,PEA,pea,pea,4
CARDIO_000221,arrest,Herzstillstand,arrest,herzstillstand,38
CARDIO_000222,palpitations,Herzklopfen,palpitations,herzklopfen,26
CARDIO_000223,ICD,ICD,icd,icd,17
CARDIO_000224,OSAS,OSAS,osas,osas,1
CARDIO_000225,IMI,IMI,imi,imi,1
CARDIO_000226,ischemic cardiomyopathy,Ischämische Kardiomyopathie,ischemic cardiomyopathy,ischämische kardiomyopathie,35
CARDIO_000227,PA catheter,PA-Katheter,pa catheter,pa-katheter,1
CARDIO_000228,CDP,CDP,cdp,cdp,1
CARDIO_000229,PA,PA,pa,pa,3
CARDIO_000230,pulmonary capillary wedge pressure,pulmonaler Kapillardruck,pulmonary capillary wedge pressure,pulmonaler kapillardruck,1
CARDIO_000231,CK-MB,CK-MB,ck-mb,ck-mb,2
CARDIO_000232,Alagille syndrome,Alagille-Syndrom,alagille syndrome,alagille-syndrom,3
CARDIO_000233,systolic,systolisch,systolic,systolisch,93
CARDIO_000234,Renolazine,Renolazin,renolazine,renolazin,1
CARDIO_000235,MAp,MAp,map,map,1
CARDIO_000236,ischaemia,Ischämie,ischaemia,ischämie,1
CARDIO_000237,mv,mv,mv,mv,1
CARDIO_000238,pvc 's,PVCs,pvc 's,pvcs,1
CARDIO_000239,pulses,Pulse,pulses,pulse,14
CARDIO_000240,MIDAZOLAN,MIDAZOLAN,midazolan,midazolan,1
CARDIO_000241,Timolol,Timolol,timolol,timolol,4
CARDIO_000242,latansoprost,Latansoprost,latansoprost,latansoprost,1
CARDIO_000243,transient,vorübergehend,transient,vorübergehend,12
CARDIO_000244,CPR,CPR,cpr,cpr,20
CARDIO_000245,mr,Mitralinsuffizienz,mr,mitralinsuffizienz,2
CARDIO_000246,cabg,cabg,cabg,cabg,3
CARDIO_000247,mRAP,mRAP,mrap,mrap,1
CARDIO_000248,mPCWP,mPCWP,mpcwp,mpcwp,1
CARDIO_000249,TGA,TGA,tga,tga,1
CARDIO_000250,vs,vs,vs,vs,4
CARDIO_000251,MILRINONE,MILRINON,milrinone,milrinon,1
CARDIO_000252,catheterisation,Katheterisierung,catheterisation,katheterisierung,1
CARDIO_000253,Normetanephrine,Normetanephrin,normetanephrine,normetanephrin,1
CARDIO_000254,toprol,Toprol,toprol,toprol,2
CARDIO_000255,EPOGEN,EPOGEN,epogen,epogen,1
CARDIO_000256,HYDRALAZINE,HYDRALAZIN,hydralazine,hydralazin,2
CARDIO_000257,SPIROLACTONE,SPIROLACTON,spirolactone,spirolacton,1
CARDIO_000258,AMIODARONE,AMIODARON,amiodarone,amiodaron,3
CARDIO_000259,PLAVIX,PLAVIX,plavix,plavix,2
CARDIO_000260,ASA,ASA,asa,asa,29
CARDIO_000261,LOPRESSOR,LOPRESSOR,lopressor,lopressor,4
CARDIO_000262,Diovan,Diovan,diovan,diovan,31
CARDIO_000263,norvasc,Norvasc,norvasc,norvasc,8
CARDIO_000264,hyzar,Hyzar,hyzar,hyzar,1
CARDIO_000265,lisinopril,Lisinopril,lisinopril,lisinopril,65
CARDIO_000266,nadolol,Nadolol,nadolol,nadolol,3
CARDIO_000267,Hydrochlorothiazide,Hydrochlorothiazid,hydrochlorothiazide,hydrochlorothiazid,6
CARDIO_000268,Levothyroxine,Levothyroxin,levothyroxine,levothyroxin,8
CARDIO_000269,Amlodipine,Amlodipin,amlodipine,amlodipin,6
CARDIO_000270,Hyzaar,Hyzaar,hyzaar,hyzaar,2
CARDIO_000271,Norvasc,Norvasc,norvasc,norvasc,72
CARDIO_000272,Plendil,Plendil,plendil,plendil,7
CARDIO_000273,Uroxatral,Uroxatral,uroxatral,uroxatral,4
CARDIO_000274,Diltiazem,Diltiazem,diltiazem,diltiazem,12
CARDIO_000275,Lisinopril,Lisinopril,lisinopril,lisinopril,34
CARDIO_000276,Atenolol,Atenolol,atenolol,atenolol,13
CARDIO_000277,Plavix,Plavix,plavix,plavix,85
CARDIO_000278,Aspiriin,Aspirin,aspiriin,aspirin,1
CARDIO_000279,Trimetazidine,Trimetazidin,trimetazidine,trimetazidin,1
CARDIO_000280,diovan,Diovan,diovan,diovan,5
CARDIO_000281,DILTIAZEM HCL,DILTIAZEM-HCL,diltiazem hcl,diltiazem-hcl,2
CARDIO_000282,Cozaar,Cozaar,cozaar,cozaar,14
CARDIO_000283,Dilacor,Dilacor,dilacor,dilacor,1
CARDIO_000284,Isosorbide,Isosorbid,isosorbide,isosorbid,3
CARDIO_000285,Medical Nutrition Therapy,Medizinische Ernährungstherapie,medical nutrition therapy,medizinische ernährungstherapie,1
CARDIO_000286,decreasing,abnehmend,decreasing,abnehmend,7
CARDIO_000287,Map,Map,map,map,1
CARDIO_000288,MAP,MAP,map,map,9
CARDIO_000289,pnd,pnd,pnd,pnd,1
CARDIO_000290,ejection fraction,Ejektionsfraktion,ejection fraction,ejektionsfraktion,82
CARDIO_000291,Lupus,Lupus,lupus,lupus,3
CARDIO_000292,warfarin,Warfarin,warfarin,warfarin,38
CARDIO_000293,systolic flow-type murmur,systolisches Strömungsgeräusch,systolic flow-type murmur,systolisches strömungsgeräusch,1
CARDIO_000294,Flotrac,Flotrac,flotrac,flotrac,1
CARDIO_000295,PAC,PAC,pac,pac,1
CARDIO_000296,PAC,PAC,pac,pac,3
CARDIO_000297,map,map,map,map,2
CARDIO_000298,atrophied,atrophiert,atrophied,atrophiert,1
CARDIO_000299,para - aortic,para-aortisch,para - aortic,para-aortisch,1
CARDIO_000300,Simvastatin,Simvastatin,simvastatin,simvastatin,10
CARDIO_000301,Nipride,Nipride,nipride,nipride,2
CARDIO_000302,CTEPH,CTEPH,cteph,cteph,1
CARDIO_000303,hemodynamic,hämodynamisch,hemodynamic,hämodynamisch,17
CARDIO_000304,subclavian artery,Arteria subclavia,subclavian artery,arteria subclavia,7
CARDIO_000305,subclavian,Subclavia,subclavian,subclavia,3
CARDIO_000306,valve,Herzklappe,valve,herzklappe,81
CARDIO_000307,Intra-aortic balloon pump,Intraaortale Ballonpumpe,intra-aortic balloon pump,intraaortale ballonpumpe,1
CARDIO_000308,subclavian,Subclavia,subclavian,subclavia,4
CARDIO_000309,descending thoracic aorta,absteigende Brustaorta,descending thoracic aorta,absteigende brustaorta,5
CARDIO_000310,Caffeine,Koffein,caffeine,koffein,1
CARDIO_000311,ST elevations,ST-Hebungen,st elevations,st-hebungen,1
CARDIO_000312,SVT,SVT,svt,svt,6
CARDIO_000313,ST-T wave,ST-T-Welle,st-t wave,st-t-welle,2
CARDIO_000314,Dopamine,Dopamin,dopamine,dopamin,5
CARDIO_000315,CAPROPRIL,CAPROPRIL,capropril,capropril,1
CARDIO_000316,aorta,Aorta,aorta,aorta,127
CARDIO_000317,C3,C3,c3,c3,9
CARDIO_000318,Central cord syndrome,Zentrales Rückenmarkssyndrom,central cord syndrome,zentrales rückenmarkssyndrom,1
CARDIO_000319,combined pulmonary fibrosis and emphysema,kombinierte Lungenfibrose und Emphysem,combined pulmonary fibrosis and emphysema,kombinierte lungenfibrose und emphysem,1
CARDIO_000320,endograft,Endograft,endograft,endograft,5
CARDIO_000321,microbubble contrast,Mikrobläschen-Kontrastmittel,microbubble contrast,mikrobläschen-kontrastmittel,1
CARDIO_000322,left ventricle,linker Ventrikel,left ventricle,linker ventrikel,32
CARDIO_000323,Bartter syndrome,Bartter-Syndrom,bartter syndrome,bartter-syndrom,1
CARDIO_000324,Hypertension,Hypertonie,hypertension,hypertonie,33
CARDIO_000325,germinal matrix haemorrhages,Blutungen in der Keimschicht,germinal matrix haemorrhages,blutungen in der keimschicht,1
CARDIO_000326,beta blockade,Betablockade,beta blockade,betablockade,11
CARDIO_000327,dilta,dilta,dilta,dilta,1
CARDIO_000328,Homocysteinemia,Homocysteinämie,homocysteinemia,homocysteinämie,1
CARDIO_000329,statin,Statin,statin,statin,1
CARDIO_000330,Serotonin,Serotonin,serotonin,serotonin,4
CARDIO_000331,CRT,CRT,crt,crt,1
CARDIO_000332,C2TR01,C2TR01,c2tr01,c2tr01,1
CARDIO_000333,DDD,DDD,ddd,ddd,6
CARDIO_000334,myocardial hibernation,Myokard-Winterschlaf,myocardial hibernation,myokard-winterschlaf,1
CARDIO_000335,stress,Belastung,stress,belastung,14
CARDIO_000336,aortic dissection,Aortendissektion,aortic dissection,aortendissektion,11
CARDIO_000337,Amrinone,Amrinon,amrinone,amrinon,1
CARDIO_000338,congestive heart failure,Herzinsuffizienz,congestive heart failure,herzinsuffizienz,113
CARDIO_000339,hemodynamically stable,hämodynamisch stabil,hemodynamically stable,hämodynamisch stabil,22
CARDIO_000340,angiography,Angiographie,angiography,angiographie,33
CARDIO_000341,nitroglycerin,Nitroglycerin,nitroglycerin,nitroglycerin,52
CARDIO_000342,Trop T,Trop T,trop t,trop t,2
CARDIO_000343,muscarinic effects,Muskarinische Wirkungen,muscarinic effects,muskarinische wirkungen,1
CARDIO_000344,SMVT,SMVT,smvt,smvt,1
CARDIO_000345,sinus rhythm,Sinusrhythmus,sinus rhythm,sinusrhythmus,90
CARDIO_000346,systolics,systolisch,systolics,systolisch,5
CARDIO_000347,HydrALAzin,HydrALAzin,hydralazin,hydralazin,1
CARDIO_000348,homocystine,Homocystin,homocystine,homocystin,2
CARDIO_000349,Carotid,Halsschlagader,carotid,halsschlagader,10
CARDIO_000350,Arterial,Arteriell,arterial,arteriell,40
CARDIO_000351,AV,AV,av,av,13
CARDIO_000352,troponin - T,Troponin-T,troponin - t,troponin-t,1
CARDIO_000353,myocardial,myokardial,myocardial,myokardial,23
CARDIO_000354,milrinone,Milrinon,milrinone,milrinon,23
CARDIO_000355,dobutamine,Dobutamin,dobutamine,dobutamin,22
CARDIO_000356,Catheterization,Katheterisierung,catheterization,katheterisierung,2
CARDIO_000357,left main,linke Hauptarterie,left main,linke hauptarterie,7
CARDIO_000358,heart rate,Herzfrequenz,heart rate,herzfrequenz,88
CARDIO_000359,AV,AV,av,av,3
CARDIO_000360,cardiac enzymes,Herzenzyme,cardiac enzymes,herzenzyme,5
CARDIO_000361,LASIC,LASIC,lasic,lasic,1
CARDIO_000362,LMS,LMS,lms,lms,1
CARDIO_000363,Goal Map,Ziel-MAP,goal map,ziel-map,1
CARDIO_000364,bradycardic,bradykardisch,bradycardic,bradykardisch,2
CARDIO_000365,mitral,Mitralklappe,mitral,mitralklappe,44
CARDIO_000366,OHSS,OHSS,ohss,ohss,1
CARDIO_000367,cozaar,Cozaar,cozaar,cozaar,2
CARDIO_000368,antiarrhythmia drug,Antiarrhythmikum,antiarrhythmia drug,antiarrhythmikum,1
CARDIO_000369,cilostazole,Cilostazol,cilostazole,cilostazol,1
CARDIO_000370,distal pulses,distale Pulse,distal pulses,distale pulse,1
CARDIO_000371,timolol,Timolol,timolol,timolol,3
CARDIO_000372,C1,C1,c1,c1,17
CARDIO_000373,Cardiology,Kardiologie,cardiology,kardiologie,39
CARDIO_000374,Vascular Surgery,Gefäßchirurgie,vascular surgery,gefäßchirurgie,5
CARDIO_000375,preconditioning,Präkonditionierung,preconditioning,präkonditionierung,1
CARDIO_000376,Flolan,Flolan,flolan,flolan,2
CARDIO_000377,Swan-Ganz catheter,Swan-Ganz-Katheter,swan-ganz catheter,swan-ganz-katheter,4
CARDIO_000378,CVP,CVP,cvp,cvp,11
CARDIO_000379,hypertensive,hypertensiv,hypertensive,hypertensiv,27
CARDIO_000380,popliteal pulses,Poplitealpulse,popliteal pulses,poplitealpulse,1
CARDIO_000381,DYS,DYS,dys,dys,1
CARDIO_000382,cerebral hemorrhage,Hirnblutung,cerebral hemorrhage,hirnblutung,1
CARDIO_000383,VS,VS,vs,vs,9
CARDIO_000384,V Paced,V Paced,v paced,v paced,1
